name,detail_url,telefon,handy,fax,email,website,address,street,postal_code,city,district,categories
Firma Toproom Innenausbau & Sanierung Gmbh (In Gründung),"https://www.hwk-muenchen.de/betriebe/toproom-innenausbau-sanierung-gmbh-in-gruendung-74,0,bdbdetail.html?id=230619",,,,,,"Toproom Innenausbau &  Sanierung Gmbh (In Gründung), Pfeuferstr. 51, 81373 München, Landkreis München, kreisfreie Stadt",Pfeuferstr. 51,81373,München,"Landkreis München, kreisfreie Stadt","Raumausstatter; Bodenleger; Parkettleger; Fliesen-, Platten- und Mosaikleger; Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma Drive Test GmbH,"https://www.hwk-muenchen.de/betriebe/drive-test-gmbh-74,0,bdbdetail.html?id=13616",089 74340940,,,info@drivetest.de,http://www.drivetest.de,"Drive Test GmbH, Adi-Maislinger-Straße 9, 81373 München, Landkreis München, kreisfreie Stadt",Adi-Maislinger-Straße 9,81373,München,"Landkreis München, kreisfreie Stadt",Informationstechniker
Firma Metalware GmbH,"https://www.hwk-muenchen.de/betriebe/metalware-gmbh-74,0,bdbdetail.html?id=213851",,,,,,"Metalware GmbH, Adi-Mailinger-Str. 9, 81373 München, Landkreis München, kreisfreie Stadt",Adi-Mailinger-Str. 9,81373,München,"Landkreis München, kreisfreie Stadt",Metallbauer
"Firma Auto Köchl GmbH, Reparatur von Pkw und Lkw, Neu- und Gebraucht- Wagenhandel","https://www.hwk-muenchen.de/betriebe/auto-koechl-gmbh-reparatur-von-pkw-und-lkw-neu-und-gebraucht-wagenhandel-74,0,bdbdetail.html?id=69349",089 7605010,,,autokoechl@t-online.de,,"Auto Köchl GmbH, Reparatur von Pkw und Lkw, Neu- und Gebraucht- Wagenhandel, Hansastraße 31, 81373 München, Landkreis München, kreisfreie Stadt",Hansastraße 31,81373,München,"Landkreis München, kreisfreie Stadt",Karosserie- und Fahrzeugbauer
Firma Wellmann GmbH,"https://www.hwk-muenchen.de/betriebe/wellmann-gmbh-74,0,bdbdetail.html?id=4563",089 7413420,,089 74134249,info@wellmann-service.de,http://www.wellmann-service.de,"Wellmann GmbH, Garmischer Straße 35, 81373 München, Landkreis München, kreisfreie Stadt",Garmischer Straße 35,81373,München,"Landkreis München, kreisfreie Stadt",Gebäudereiniger
Firma Amplifon Deutschland GmbH,"https://www.hwk-muenchen.de/betriebe/amplifon-deutschland-gmbh-74,0,bdbdetail.html?id=221182",,,,janina.wedermann@amplifon.com,,"Amplifon Deutschland GmbH, Albert-Rosshaupter-Straße 56, 81369 München, Landkreis München, kreisfreie Stadt",Albert-Rosshaupter-Straße 56,81369,München,"Landkreis München, kreisfreie Stadt",Hörakustiker (Öffnungszeiten: Mittwoch bis Freitag von 09.00 h bis 13.00 h und von 14.00 h bis 18.00 h)
"Firma Helios, Heizungs-, Klima- und Kältetechnik GmbH","https://www.hwk-muenchen.de/betriebe/helios-heizungs-klima-und-kaeltetechnik-gmbh-74,0,bdbdetail.html?id=31357",,,,,,"Helios, Heizungs-, Klima- und Kältetechnik GmbH, Meindlstr. 23, 81373 München, Landkreis München, kreisfreie Stadt",Meindlstr. 23,81373,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer (beschränkt auf Lüftungsbau); Elektrotechniker; Kälteanlagenbauer
Firma trendOptic GmbH,"https://www.hwk-muenchen.de/betriebe/trendoptic-gmbh-74,0,bdbdetail.html?id=45795",089 12391011,,089 12391012,hansjunker@trendoptic.de,http://www.trendoptic.de,"trendOptic GmbH, Lindenschmitstraße 37, 81371 München, Landkreis München, kreisfreie Stadt",Lindenschmitstraße 37,81371,München,"Landkreis München, kreisfreie Stadt",Augenoptiker
Firma Sattelberg und Senge GmbH,"https://www.hwk-muenchen.de/betriebe/sattelberg-und-senge-gmbh-74,0,bdbdetail.html?id=36103",,,,,,"Sattelberg und Senge GmbH, Geroltstraße 50, 80339 München, Landkreis München, kreisfreie Stadt",Geroltstraße 50,80339,München,"Landkreis München, kreisfreie Stadt",Raumausstatter
Firma Hörgeräte Seifert GmbH,"https://www.hwk-muenchen.de/betriebe/hoergeraete-seifert-gmbh-74,0,bdbdetail.html?id=230463",,,,,,"Hörgeräte Seifert GmbH, Plinganserstraße 51, 81369 München, Landkreis München, kreisfreie Stadt",Plinganserstraße 51,81369,München,"Landkreis München, kreisfreie Stadt",Hörakustiker
Firma REWE Markt GmbH Zweigniederlassung Eching/Mü.,"https://www.hwk-muenchen.de/betriebe/rewe-markt-gmbh-zweigniederlassung-eching-mue-74,0,bdbdetail.html?id=106673",,,,,,"REWE Markt GmbH Zweigniederlassung Eching/Mü., Alramstr. 14, 81371 München, Landkreis München, kreisfreie Stadt",Alramstr. 14,81371,München,"Landkreis München, kreisfreie Stadt",Metzger
Firma CMA Engineering GmbH,"https://www.hwk-muenchen.de/betriebe/cma-engineering-gmbh-74,0,bdbdetail.html?id=88551",089 577770 23,,089 51777025,service@cmae.de,http://www.cmae.de,"CMA Engineering GmbH, Edelsbergstr. 8, 80686 München, Landkreis München, kreisfreie Stadt",CMA Engineering GmbH,80686,München,"Landkreis München, kreisfreie Stadt",Feinwerkmechaniker
"Firma B.A.D. Beratung, Ausführung, Design GmbH","https://www.hwk-muenchen.de/betriebe/b-a-d-beratung-ausfuehrung-design-gmbh-74,0,bdbdetail.html?id=60596",+49 172 845 2440,+49 172 8452440,+49 89 72069306,wolfgang-goetschel@t-online.de,http://www.dusche123.de,"B.A.D. Beratung, Ausführung, Design GmbH, Plinganserstraße 59, 81369 München, Landkreis München, kreisfreie Stadt",Plinganserstraße 59,81369,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Stadler Max GmbH,"https://www.hwk-muenchen.de/betriebe/stadler-max-gmbh-74,0,bdbdetail.html?id=77815",089 7607011,,,,,"Stadler Max GmbH, Euckenstraße 15, 81369 München, Landkreis München, kreisfreie Stadt",Euckenstraße 15,81369,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Bausan Bauunternehmen GmbH,"https://www.hwk-muenchen.de/betriebe/bausan-bauunternehmen-gmbh-74,0,bdbdetail.html?id=325826",+49 89  242 119 32,,,info@bausangmbh.de,http://www.bausangmbh.de,"Bausan Bauunternehmen GmbH, Lindwurmstraße 171, 80337 München, Landkreis München, kreisfreie Stadt",Lindwurmstraße 171,80337,München,"Landkreis München, kreisfreie Stadt","Fliesen-, Platten- und Mosaikleger"
Firma Kurt Spiss Elektroanlagen GmbH,"https://www.hwk-muenchen.de/betriebe/kurt-spiss-elektroanlagen-gmbh-74,0,bdbdetail.html?id=229813",089 7259217,00897259332,089 54871864,elektro-spiss@gmx.de,,"Kurt Spiss Elektroanlagen GmbH, Aberlestraße 46, 81371 München, Landkreis München, kreisfreie Stadt",Aberlestraße 46,81371,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma bayernServices GmbH,"https://www.hwk-muenchen.de/betriebe/bayernservices-gmbh-74,0,bdbdetail.html?id=149642",,,,,,"bayernServices GmbH, Poccistraße 9, 80336 München, Landkreis München, kreisfreie Stadt",Poccistraße 9,80336,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Elektro Messer GmbH,"https://www.hwk-muenchen.de/betriebe/elektro-messer-gmbh-74,0,bdbdetail.html?id=73574",089 7212125,,089 7212106,info@elektro-messer.de,http://www.elektro-messer.de,"Elektro Messer GmbH, Lindwurmstr. 88, 80337 München, Landkreis München, kreisfreie Stadt",Lindwurmstr. 88,80337,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Bucherer Deutschland GmbH,"https://www.hwk-muenchen.de/betriebe/bucherer-deutschland-gmbh-74,0,bdbdetail.html?id=18654",089 923399125,,089 923399120,,,"Bucherer Deutschland GmbH, Riedlerstraße 57, 80339 München, Landkreis München, kreisfreie Stadt",Riedlerstraße 57,80339,München,"Landkreis München, kreisfreie Stadt",Uhrmacher
Firma Otto Lill Versorgungstechnik GmbH,"https://www.hwk-muenchen.de/betriebe/otto-lill-versorgungstechnik-gmbh-74,0,bdbdetail.html?id=106313",089 7145715,,089 7194240,post@lill-versorgungstechnik.de,http://lill-versorgungstechnik.de,"Otto Lill Versorgungstechnik GmbH, Johann-Clanze-Straße 28 c, 81369 München, Landkreis München, kreisfreie Stadt",Johann-Clanze-Straße 28 c,81369,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Die Macher GmbH,"https://www.hwk-muenchen.de/betriebe/die-macher-gmbh-74,0,bdbdetail.html?id=154561",,0171 4756376,,,,"Die Macher GmbH, Karwendelstr. 30, 81369 München, Landkreis München, kreisfreie Stadt",Karwendelstr. 30,81369,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Heinrich Nabholz Autoreifen GmbH,"https://www.hwk-muenchen.de/betriebe/heinrich-nabholz-autoreifen-gmbh-74,0,bdbdetail.html?id=31013",,,,,,"Heinrich Nabholz Autoreifen GmbH, Johann-Clanze-Straße 38, 81369 München, Landkreis München, kreisfreie Stadt",Johann-Clanze-Straße 38,81369,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma Carglass GmbH,"https://www.hwk-muenchen.de/betriebe/carglass-gmbh-74,0,bdbdetail.html?id=59543",089 76974346,,089 76974346,d.hoffmann@carglass.de,,"Carglass GmbH, Passauerstraße 43 a, 81369 München, Landkreis München, kreisfreie Stadt",Passauerstraße 43 a,81369,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker (beschränkt auf Kfz-Verglasung)
Firma Helmut Glas Kfz-Meisterbetrieb GmbH,"https://www.hwk-muenchen.de/betriebe/helmut-glas-kfz-meisterbetrieb-gmbh-74,0,bdbdetail.html?id=360603",089 779962,,089 76701322,info@glas-kfz.de,,"Helmut Glas Kfz-Meisterbetrieb GmbH, Engelhardstraße 6, 81369 München, Landkreis München, kreisfreie Stadt",Engelhardstraße 6,81369,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma B & R Bauer & Reif Dental GmbH Dentalhandel und -Service,"https://www.hwk-muenchen.de/betriebe/b-r-bauer-reif-dental-gmbh-dentalhandel-und-service-74,0,bdbdetail.html?id=134938",089 76708313,,089 76708326,,http://www.bauer-reif-dental.de,"B & R Bauer & Reif Dental GmbH Dentalhandel und -Service, Heimeranstraße 35, 80339 München, Landkreis München, kreisfreie Stadt",Heimeranstraße 35,80339,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Erich Berghammer GmbH,"https://www.hwk-muenchen.de/betriebe/erich-berghammer-gmbh-74,0,bdbdetail.html?id=12634",089 5021980,,089 509180,marianne@berghammer-gmbh.de,,"Erich Berghammer GmbH, Kiliansplatz 5, 80339 München, Landkreis München, kreisfreie Stadt",Kiliansplatz 5,80339,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Schütz Elektroinstallation GmbH,"https://www.hwk-muenchen.de/betriebe/schuetz-elektroinstallation-gmbh-74,0,bdbdetail.html?id=384809",089 45579801,,089 45579802,info@schuetzelektroinstallation.com,http://www.schuetzelektroinstallation.com,"Schütz Elektroinstallation GmbH, Kürnbergstraße 42, 81369 München, Landkreis München, kreisfreie Stadt",Kürnbergstraße 42,81369,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Ing.-Büro Otto Braun GmbH Planung v. Laboreinrichtungen,"https://www.hwk-muenchen.de/betriebe/ing-buero-otto-braun-gmbh-planung-v-laboreinrichtungen-74,0,bdbdetail.html?id=101064",089 7609028,,089 7607816,funk@laborplanung-braun.de,http://www.laborplanung-braun.de,"Ing.-Büro Otto Braun GmbH Planung v. Laboreinrichtungen, Passauerstraße 45, 81369 München, Landkreis München, kreisfreie Stadt",Passauerstraße 45,81369,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Salon AHead GmbH,"https://www.hwk-muenchen.de/betriebe/salon-ahead-gmbh-74,0,bdbdetail.html?id=134928",,,,,,"Salon AHead GmbH, Ligsalzstraße 37, 80339 München, Landkreis München, kreisfreie Stadt",Ligsalzstraße 37,80339,München,"Landkreis München, kreisfreie Stadt",Friseur
Firma Claus Eichenseher GmbH,"https://www.hwk-muenchen.de/betriebe/claus-eichenseher-gmbh-74,0,bdbdetail.html?id=32382",089 6515781,0177 2514071,089 6516903,eichenseher.parkett@t-online.de,http://www.eichenseher-parkett.de,"Claus Eichenseher GmbH, Gotzingerstr. 17, 81371 München, Landkreis München, kreisfreie Stadt",Gotzingerstr. 17,81371,München,"Landkreis München, kreisfreie Stadt",Schreiner; Parkettleger
Firma Autohaus Westend Goßler GmbH & Co. KG,"https://www.hwk-muenchen.de/betriebe/autohaus-westend-gossler-gmbh-co-kg-74,0,bdbdetail.html?id=65360",089 5783730,,089 57837350,info@autohaus-westend.de,http://www.autohaus-westend.de,"Autohaus Westend Goßler GmbH & Co. KG, Westendstraße 219, 80686 München, Landkreis München, kreisfreie Stadt",Westendstraße 219,80686,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma Dobler Metallbau GmbH,"https://www.hwk-muenchen.de/betriebe/dobler-metallbau-gmbh-74,0,bdbdetail.html?id=31893",089 570924-0,,089 570924-77,julia.giesinger@dobler-metallbau.com,http://www.dobler-metallbau.com,"Dobler Metallbau GmbH, Hansastraße  15, 80686 München, Landkreis München, kreisfreie Stadt",Hansastraße  15,80686,München,"Landkreis München, kreisfreie Stadt",Metallbauer
Firma Landshammer GmbH,"https://www.hwk-muenchen.de/betriebe/landshammer-gmbh-74,0,bdbdetail.html?id=55258",089 881440,,,gerhardkierner@landshammer-muenchen.de,,"Landshammer GmbH, Hansastraße 15, 80686 München, Landkreis München, kreisfreie Stadt",Hansastraße 15,80686,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Jürgen Westenhuber GmbH,"https://www.hwk-muenchen.de/betriebe/juergen-westenhuber-gmbh-74,0,bdbdetail.html?id=154887",089 7469688,,089 7469694,,,"Jürgen Westenhuber GmbH, Lindwurmstraße 151, 80337 München, Landkreis München, kreisfreie Stadt",Lindwurmstraße 151,80337,München,"Landkreis München, kreisfreie Stadt","Orthopädieschuhmacher (Entwurf, Anfertigung, Anpassung und Instandsetzung von Fußeinlagen (ohne Diabeteseinlagen), und orthopädische Schuhzurichtungen am Konfektionsschuh); Schuhmacher"
Firma Paulus Dental-Technik GmbH,"https://www.hwk-muenchen.de/betriebe/paulus-dental-technik-gmbh-74,0,bdbdetail.html?id=101782",089 7143087,,089 7143139,meister.zahn.paulus@uhkmail.de,http://www.meister-zahn-paulus.de,"Paulus Dental-Technik GmbH, Albert-Roßhaupter-Straße 115, 81369 München, Landkreis München, kreisfreie Stadt",Albert-Roßhaupter-Straße 115,81369,München,"Landkreis München, kreisfreie Stadt",Zahntechniker
Firma Elektro Graser GmbH,"https://www.hwk-muenchen.de/betriebe/elektro-graser-gmbh-74,0,bdbdetail.html?id=135094",089 890674-0,,089 890674-29,info@elektro-graser.de,http://www.elektro-graser.de,"Elektro Graser GmbH, Gollierstraße 70, 80339 München, Landkreis München, kreisfreie Stadt",Gollierstraße 70,80339,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Gwk Präzisionstechnik GmbH,"https://www.hwk-muenchen.de/betriebe/gwk-praezisionstechnik-gmbh-74,0,bdbdetail.html?id=59149",,,,,,"Gwk Präzisionstechnik GmbH, Gollierstraße 70, 80339 München, Landkreis München, kreisfreie Stadt",Gollierstraße 70,80339,München,"Landkreis München, kreisfreie Stadt",Feinwerkmechaniker; Zweiradmechaniker
Firma Pfeilstetter GmbH,"https://www.hwk-muenchen.de/betriebe/pfeilstetter-gmbh-74,0,bdbdetail.html?id=138417",,,,info@pfeilstetter-gmbh.de,,"Pfeilstetter GmbH, Gollierstraße 70, 80339 München, Landkreis München, kreisfreie Stadt",Gollierstraße 70,80339,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Stahlbau-Bauschlosserei W. Laufer GmbH,"https://www.hwk-muenchen.de/betriebe/stahlbau-bauschlosserei-w-laufer-gmbh-74,0,bdbdetail.html?id=106977",089 3593945,0172 8500279,089 3593797,laufer61@aol.com,,"Stahlbau-Bauschlosserei W. Laufer GmbH, Gollierstraße 70, 80339 München, Landkreis München, kreisfreie Stadt",Gollierstraße 70,80339,München,"Landkreis München, kreisfreie Stadt",Metallbauer
Firma AS Dentaltechnik GmbH,"https://www.hwk-muenchen.de/betriebe/as-dentaltechnik-gmbh-74,0,bdbdetail.html?id=88609",089 54404183,,089 54404185,,,"AS Dentaltechnik GmbH, Lindwurmstraße 145, 80337 München, Landkreis München, kreisfreie Stadt",Lindwurmstraße 145,80337,München,"Landkreis München, kreisfreie Stadt",Zahntechniker
Firma Ivenz GmbH,"https://www.hwk-muenchen.de/betriebe/ivenz-gmbh-74,0,bdbdetail.html?id=142758",089 505639,,089 54072703,ortho@herwig-ivenz.de,,"Ivenz GmbH, Gollierstr. 35, 80339 München, Landkreis München, kreisfreie Stadt",Gollierstr. 35,80339,München,"Landkreis München, kreisfreie Stadt",Orthopädieschuhmacher
Firma Wasserrab Autowerkstatt GmbH,"https://www.hwk-muenchen.de/betriebe/wasserrab-autowerkstatt-gmbh-74,0,bdbdetail.html?id=17829",089 508681,,,,,"Wasserrab Autowerkstatt GmbH, Ligsalzstr. 34, 80339 München, Landkreis München, kreisfreie Stadt",Ligsalzstr. 34,80339,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma Optik Stratz GmbH,"https://www.hwk-muenchen.de/betriebe/optik-stratz-gmbh-74,0,bdbdetail.html?id=124491",089 506501,,089 5020567,Info@optik-Stratz.de,http://www.optik-stratz.de,"Optik Stratz GmbH, Gollierstr. 34, 80339 München, Landkreis München, kreisfreie Stadt",Gollierstr. 34,80339,München,"Landkreis München, kreisfreie Stadt",Augenoptiker
Firma Christian Harb Meisterbetrieb GmbH,"https://www.hwk-muenchen.de/betriebe/christian-harb-meisterbetrieb-gmbh-74,0,bdbdetail.html?id=148562",089 53026027,,089 53026028,info@harb-installation.de,http://www.harb-installation.de,"Christian Harb Meisterbetrieb GmbH, Gaißacher Straße 17, 81371 München, Landkreis München, kreisfreie Stadt",Gaißacher Straße 17,81371,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Schmaus Bodenbeläge GmbH,"https://www.hwk-muenchen.de/betriebe/schmaus-bodenbelaege-gmbh-74,0,bdbdetail.html?id=124448",,,,,,"Schmaus Bodenbeläge GmbH, Johann-Clanze-Straße 90, 81369 München, Landkreis München, kreisfreie Stadt",Johann-Clanze-Straße 90,81369,München,"Landkreis München, kreisfreie Stadt",Bodenleger
Firma Le Coiffeur Renate Stölzl GmbH,"https://www.hwk-muenchen.de/betriebe/le-coiffeur-renate-stoelzl-gmbh-74,0,bdbdetail.html?id=173239",,,,,,"Le Coiffeur Renate Stölzl GmbH, Alter Messeplatz 10, 80339 München, Landkreis München, kreisfreie Stadt",Alter Messeplatz 10,80339,München,"Landkreis München, kreisfreie Stadt",Friseur
Firma Helmut Landherr GmbH,"https://www.hwk-muenchen.de/betriebe/helmut-landherr-gmbh-74,0,bdbdetail.html?id=55398",,,,,,"Helmut Landherr GmbH, Albert-Roßhaupter-Str. 131, 81369 München, Landkreis München, kreisfreie Stadt",Albert-Roßhaupter-Str. 131,81369,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma Optik Stratz GmbH,"https://www.hwk-muenchen.de/betriebe/optik-stratz-gmbh-74,0,bdbdetail.html?id=106674",,,,,,"Optik Stratz GmbH, Messeplatz 6 a, 80339 München, Landkreis München, kreisfreie Stadt",Messeplatz 6 a,80339,München,"Landkreis München, kreisfreie Stadt",Augenoptiker
Firma Bavaria Energiespartechnik GmbH,"https://www.hwk-muenchen.de/betriebe/bavaria-energiespartechnik-gmbh-74,0,bdbdetail.html?id=82668",089 23021650,089 230216529,,info@bavaria-est.de,http://www.bavaria-est.de,"Bavaria Energiespartechnik GmbH, Albert-Roßhaupter-Straße 135, 81369 München, Landkreis München, kreisfreie Stadt",Albert-Roßhaupter-Straße 135,81369,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Schön-Back GmbH,"https://www.hwk-muenchen.de/betriebe/schoen-back-gmbh-74,0,bdbdetail.html?id=155447",,,,,,"Schön-Back GmbH, Westendstr. 135, 80339 München, Landkreis München, kreisfreie Stadt",Westendstr. 135,80339,München,"Landkreis München, kreisfreie Stadt",Konditoren; Bäcker
Firma OWI Orthopädische Werkstatt im Integrationszentrum GmbH,"https://www.hwk-muenchen.de/betriebe/owi-orthopaedische-werkstatt-im-integrationszentrum-gmbh-74,0,bdbdetail.html?id=164551",089 71007301,,,owi@icpmuenchen.de,http://www.icpmuenchen.de,"OWI Orthopädische  Werkstatt im Integrationszentrum GmbH, Garmischer Straße 241, 81377 München, Landkreis München, kreisfreie Stadt",Garmischer Straße 241,81377,München,"Landkreis München, kreisfreie Stadt",Orthopädietechniker
Firma Lei-MA Bodenbeläge GmbH Vertriebs-Verarbeitung Bodenlegereibetrieb,"https://www.hwk-muenchen.de/betriebe/lei-ma-bodenbelaege-gmbh-vertriebs-verarbeitung-bodenlegereibetrieb-74,0,bdbdetail.html?id=36215",089 5028363,,089 5023581,leimaboden@t-online.de,http://www.leimaboden.fhr-raumgestaltung.de,"Lei-MA Bodenbeläge GmbH Vertriebs-Verarbeitung Bodenlegereibetrieb, Westendstr. 123, 80339 München, Landkreis München, kreisfreie Stadt",Westendstr. 123,80339,München,"Landkreis München, kreisfreie Stadt",Bodenleger; Parkettleger
Firma Knapp GmbH Malereibetrieb,"https://www.hwk-muenchen.de/betriebe/knapp-gmbh-malereibetrieb-74,0,bdbdetail.html?id=133763",089 576998,,089 576999,info@knappmalerei.de,,"Knapp GmbH Malereibetrieb, Westendstraße 260 b, 80686 München, Landkreis München, kreisfreie Stadt",Westendstraße 260 b,80686,München,"Landkreis München, kreisfreie Stadt","Maler und Lackierer; Stuckateur; Raumausstatter; Gerüstbauer (beschränkt auf das Aufstellen von Stand- und Fahrgerüsten (Fassadengerüste) ohne Gerüstsonderkonstruktionen wie Hängegerüste, Gerüste im Industriegerüstbau und insbesondere ohne Traggerüste); Bodenleger"
Firma Spechtenhauser Pumpen GmbH,"https://www.hwk-muenchen.de/betriebe/spechtenhauser-pumpen-gmbh-74,0,bdbdetail.html?id=64076",08246 96950,0172 8511571,089 2070278-22,info@spechtenhauser.de,http://www.spechtenhauser.de,"Spechtenhauser Pumpen GmbH, Zenettistraße 40, 80337 München, Landkreis München, kreisfreie Stadt",Zenettistraße 40,80337,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Berdux Klaviere & Flügel GmbH,"https://www.hwk-muenchen.de/betriebe/berdux-klaviere-fluegel-gmbh-74,0,bdbdetail.html?id=30914",089 20084181,,,,,"Berdux Klaviere & Flügel GmbH, Passauerstraße 63, 81369 München, Landkreis München, kreisfreie Stadt",Passauerstraße 63,81369,München,"Landkreis München, kreisfreie Stadt",Klavier- und Cembalobauer
Firma Jureta Armierungsgesellschaft GmbH,"https://www.hwk-muenchen.de/betriebe/jureta-armierungsgesellschaft-gmbh-74,0,bdbdetail.html?id=30957",,,,,,"Jureta  Armierungsgesellschaft GmbH, Schießstättstr. 29, 80339 München, Landkreis München, kreisfreie Stadt",Schießstättstr. 29,80339,München,"Landkreis München, kreisfreie Stadt",Eisenflechter
